char	strokes	frequency	jlpt	grade	radicals	parts	meanings	readings_kun	readings_on	compounds_kun	compounds_on	words
凱	12	2293	N1		table 几	并 几 口 山 豆	victory song	かちどき, やわらぐ	ガイ, カイ		{凱歌:ガイカ} victory song, victory<br/>{凱旋:ガイセン} triumphal return	{凱:がい}{旋:せん}<br/>{凱:がい}{歌:か}<br/>{凱:がい}{旋:せん}{門:もん}<br/>{凱:がい}{旋:せん}{軍:ぐん}<br/>{凱:がい}{旋:せん}{公:こう}{演:えん}<br/>{凱:がい}{旋:せん}{将:しょう}{軍:ぐん}<br/>{凱:がい}{風:ふう}<br/>{凱旋門 (1948年の映画):}<br/>{凱旋駅 (高雄市):}<br/>{凱旋門 (文学):}<br/>{凱旋門 (平壌):}
彗	11	2294	N1		pig snout 彐 (彑)	二 亠 土 ヨ	comet	ほうき	スイ, エ, ケイ, セイ		{彗星:スイセイ} comet<br/>{彗星のように現れる:スイセイノヨウニアラワレル} to become famous overnight, to burst into fame	{彗:すい}{星:せい}<br/>{彗:すい}{星:せい}のように{現:あらわ}れる<br/>{彗星 (航空機):}<br/>{彗星・小惑星遷移天体:}
謄	17	2295	N1	junior high	speech 言 (訁)	一 ｜ 二 大 月 言	mimeograph, copy		トウ		{謄本:トウホン} certified copy, transcript, official copy of the family register<br/>{謄写:トウシャ} copy, transcription, mimeograph, photocopy	{謄:とう}{本:ほん}<br/>{謄:とう}{写:しゃ}{版:ばん}<br/>{謄:とう}{写:しゃ}<br/>{謄:とう}{写:しゃ}{器:き}
諌	15	2296			speech 言 (訁)	｜ 日 木 田 言	admonish, dissuade	いさ.め, いさ.める	カン	{諫め:いさめ} remonstrance, remonstration, admonition, protest, reproof, expostulation, advice, counsel<br/>{諌める:いさめる} to remonstrate, to admonish (someone) for, to advise (someone) not to, to warn against<br/>{諌める:いさめる} to remonstrate, to admonish (someone) for, to advise (someone) not to, to warn against	{諫言:カンゲン} admonition, remonstrance, expostulation<br/>{諫死:カンシ} committing suicide (to remonstrate or dissuade one's lord), preparing to die in an effort to dissuade one's lord<br/>{諷諫:フウカン} indirect remonstrance, exhortation by insinuation<br/>{尸諌:シカン} admonishing (one's master) at the cost of one's life	{諌:いさ}める
樫	16	2297			tree 木	又 土 木 臣	evergreen oak, (kokuji)	かし			Kun reading compounds<br/>{樫:かし} evergreen oak<br/>{樫粉:かしご} oak flour (esp. as animal food), acorn flour<br/>{熊樫:くまがし} large evergreen oak<br/>{粗樫:あらかし} ring-cupped oak (Quercus glauca), Japanese blue oak	{樫:かし}<br/>{樫:かし}{粉:ご}<br/>{樫野 (給兵艦):}
噂	15	2298			mouth, opening 口	并 口 寸 西	rumor, gossip, hearsay	うわさ	ソン		Kun reading compounds<br/>{噂:うわさ} rumour, rumor, report, hearsay, gossip, common talk<br/>{噂が流れる:うわさがながれる} to have rumors going around (rumours), to have rumors spread<br/>{浮いた噂:ういたうわさ} amorous rumour (rumor), romantic gossip<br/>{風の噂:かぜのうわさ} hearsay, rumor, grapevine	{噂:うわさ}<br/>{噂 (アルバム):}<br/>{噂:うわさ}{話:ばなし}<br/>{噂:うわさ}を{聞:き}く<br/>{噂:うわさ}をすれば{影:かげ}<br/>{噂:うわさ}{通:どお}り<br/>{噂:うわさ}が{立:た}つ<br/>{噂:うわさ}をすれば{影:かげ}が{射:さ}す<br/>{噂:うわさ}に{違:たが}わぬ<br/>{噂:うわさ}を{流:なが}す<br/>{噂:うわさ}に{上:のぼ}る<br/>{噂:うわさ}を{立:た}て<br/>{噂:うわさ}が{流:なが}れる<br/>{噂のモーガン夫妻:}
脊	10	2299		junior high	meat 肉 (⺼)	二 人 月	stature, height	せ, せい	セキ	{背:せ} back, spine, reverse, rear side, height, stature, ridge (of a mountain)<br/>{背:せい} height, stature<br/>{背:せい} height, stature	{脊椎:セキツイ} spine, vertebral column<br/>{脊髄:セキズイ} spinal cord	{脊:せき}{髄:ずい}<br/>{脊:せき}{椎:つい}<br/>{脊:せき}{椎:つい}{動:どう}{物:ぶつ}<br/>{脊:せき}{柱:ちゅう}{管:かん}<br/>{脊:せき}{髄:ずい}{神:しん}{経:けい}<br/>{脊:せき}{髄:ずい}{小:しょう}{脳:のう}{変:へん}{性:せい}{症:しょう}<br/>{脊:せき}{索:さく}{動:どう}{物:ぶつ}<br/>{脊:せき}{索:さく}<br/>{脊:せき}{椎:つい}{側:そく}{湾:わん}{症:しょう}<br/>{脊:せき}{柱:ちゅう}{後:こう}{弯:わん}{症:しょう}<br/>{脊:せき}{椎:つい}{動:どう}{物:ぶつ}{亜:あ}{門:もん}<br/>{脊:せき}{椎:つい}{湾:わん}{曲:きょく}<br/>{脊:せき}{椎:つい}{炎:えん}<br/>{脊:せき}{柱:ちゅう}{管:かん}{狭:きょう}{窄:さく}{症:しょう}<br/>{脊:せき}{椎:つい}{破:は}{壊:かい}
牝	6	2300			cow 牛 (牜)	匕 牛	female	めす, め-, めん	ヒン	{雌:めす} female (animal, plant)<br/>{メス犬:メスいぬ} bitch, female dog<br/>{雌鳥:めんどり} female bird, hen	{牝馬:ヒンバ} mare, filly<br/>{牝鷄:ヒンケイ} hen	{牝:ひん}{馬:ば}<br/>{牝:め}{鹿:じか}<br/>{牝:ひん}{鷄:けい}<br/>{牝:め}{瓦:がわら}<br/>{牝:ひん}{牡:ぼ}<br/>{牝:め}{狐:ぎつね}
梓	11	2301	N1		tree 木	十 木 立 辛	catalpa tree, woodblock printing	あずさ	シ	{梓:あずさ} Japanese cherry birch (Betula grossa), yellow catalpa (Catalpa ovata), Japanese mallotus (Mallotus japonicus), printing block, catalpa bow, catalpa medium<br/>{梓巫女:あずさみこ} female medium who summons spirits by sounding the string of a catalpa bow	{梓:アズサ} Japanese cherry birch (Betula grossa), yellow catalpa (Catalpa ovata), Japanese mallotus (Mallotus japonicus), printing block, catalpa bow, catalpa medium<br/>{梓宮:シキュウ} Emperor's coffin (made of catalpa wood)<br/>{上梓:ジョウシ} publication, wood-block printing	{梓:あずさ}<br/>{梓:あずさ}{弓:ゆみ}<br/>{梓:し}{宮:きゅう}<br/>{梓:し}{匠:しょう}<br/>{梓巫女:あずさみこ}<br/>{梓:し}に{上:のぼ}せる
洛	9	2302			water 水 (氵, 氺)	口 夂 汁	Kyoto, the capital		ラク		{洛外:ラクガイ} outside Kyoto or the capital<br/>{洛学:ラクガク} Luo Xue school (neo-Confucianist school)<br/>{京洛:キョウラク} capital (esp. Kyoto)<br/>{入洛:ジュラク} proceeding to Kyoto, entering Kyoto	{洛:らく}<br/>{洛:らく}{中:ちゅう}{洛:らく}{外:がい}<br/>{洛:らく}{中:ちゅう}{払:ばら}い<br/>{洛:らく}{叉:しゃ}<br/>{洛:らく}{南:なん}<br/>{洛:らく}{中:ちゅう}<br/>{洛:らく}{中:ちゅう}{洛:らく}{外:がい}{図:ず}<br/>{洛:らく}{学:がく}<br/>{洛:らく}{外:がい}<br/>{洛:らく}{中:ちゅう}{尽:づ}くし<br/>{洛:らく}{内:ない}<br/>{洛:らく}{北:ほく}<br/>{洛:らく}{陽:よう}の{紙:し}{価:か}を{高:たか}める
醍	16	2303			wine, alcohol 酉	日 疋 酉	whey, good Buddhist teaching		ダイ, タイ, テイ		{醍醐:ダイゴ} ghee (held to be the greatest of all flavours), the ultimate truth of Buddhism, nirvana<br/>{醍醐味:ダイゴミ} the real pleasure (of something), the real thrill, the true charm, flavour of ghee, delicious taste, Buddha's gracious teachings	{醍:だい}{醐:ご}<br/>{醍:だい}{醐:ご}{味:み}<br/>{醍醐駅 (京都府):}<br/>{醍醐駅 (秋田県):}
砦	11	2304			stone 石	匕 口 止 石	fort, stronghold, entrenchments	とりで	サイ	{砦:とりで} fort, fortress, stronghold, fortification<br/>{砦を落とす:とりでをおとす} to capture a fort<br/>{最後のとりで:さいごのとりで} last stand, last bastion, last stronghold, last frontier	{城塞:ジョウサイ} fortress, stronghold, citadel<br/>{鹿砦:ロクサイ} abatis	{砦:とりで}<br/>{砦:とりで}を{落:お}とす
丑	4	2305	N1		one 一	一 ｜ ノ	sign of the ox or cow, 1-3AM, second sign of Chinese zodiac	うし	チュウ	{丑:うし} second sign of the Chinese zodiac (The Ox, 1am-3am, north-northeast, December)<br/>{丑寅:うしとら} northeast<br/>{辛丑:かのとうし} thirty-eighth of the sexagenary cycle<br/>{乙丑:きのとうし} second of the sexagenary cycle	{丁丑:ヒノトノウシ} fourteenth of the sexagenary cycle<br/>{癸丑:ミズノトウシ} 50th of the sexagenary cycle	{丑:うし}<br/>{丑:うし}の{刻:こく}<br/>{丑:うし}{年:どし}<br/>{丑:うし}の{日:ひ}<br/>{丑:うし}{寅:とら}<br/>{丑:うし}の{年:とし}<br/>{丑:うし}の{時:とき}{参:まい}り<br/>{丑:うし}{三:み}つ{時:どき}<br/>{丑:うし}の{刻:こく}{参:まい}り
笏	10	2306			bamboo 竹 (⺮)	ノ 勹 勿 竹 乞	mace, baton, scepter	しゃく	コツ		Kun reading compounds<br/>{笏:しゃく} shaku (flat wooden or ivory baton carried in the right hand when in ceremonial imperial or Shinto garb)<br/>{笏拍子:しゃくびょうし} clapper (two long pieces of wood that are clapped together; used in gagaku, etc.)<br/>{王笏:おうしゃく} sceptre, scepter	{笏:しゃく}<br/>{笏:しゃく}{拍:びょう}{子:し}
蕨	15	2307			grass 艸 (艹)	并 厂 屮 艾 欠	bracken, fernbrake	わらび	ケツ		Kun reading compounds<br/>{蕨:わらび} bracken<br/>{わらび粉:わらびこ} bracken starch (starch produced from the rhizomes of bracken)<br/>{早蕨:さわらび} freshly budded bracken<br/>{水蕨:みずわらび} water sprite (Ceratopteris thalictroides), Indian fern, water fern, oriental waterfern, water hornfern	{蕨:わらび}<br/>{蕨:わらび}{手:て}{刀:とう}
噺	16	2308			mouth, opening 口	亠 并 口 斤 木 立 辛	talk, (kokuji)	はなし			Kun reading compounds<br/>{話:はなし} talk, speech, chat, conversation, (made-up) story, tale, yarn, discussions, negotiation, argument<br/>{噺家:はなしか} professional comic (rakugo) storyteller	{噺:はなし}{家:か}
抒	7	2309			hand 手 (扌龵)	亅 マ 扎 矛	tell, 10**24	く.む, の.べる	ジョ, ショ		{叙情:ジョジョウ} lyricism, description of one's feelings<br/>{叙情詩:ジョジョウシ} lyric poetry, lyric poem, ode	{抒情組曲 (ベルク):}
嗣	13	2310	N1	junior high	mouth, opening 口	一 ｜ 亅 冂 口	heir, succeed		シ		{嗣業:シギョウ} succeeding to a business<br/>{嗣子:シシ} heir<br/>{継嗣:ケイシ} successor, heir, heiress<br/>{世子:セイシ} heir, successor	{嗣:し}<br/>{嗣:し}{業:ぎょう}<br/>{嗣:し}{子:し}
隈	12	2311			mound, dam (阝 left) 阜 (阝)	阡 田 衣	corner, nook, recess	くま, すみ	ワイ, エ		Kun reading compounds<br/>{隈:くま} corner, nook, recess, shadow, shade, dark circles (e.g. around one's eyes)<br/>隅々 【すみずみ】 every corner, every nook and cranny, all the ins and outs<br/>{目の隈:めのくま} dark circles around the eyes, periorbital dark circles<br/>隅々 【すみずみ】 every corner, every nook and cranny, all the ins and outs	{隈:くま}<br/>{隈:くま}なく<br/>{隈:くま}{取:ど}り<br/>{隈:くま}{取:ど}る<br/>{隈取磁極型誘導電動機:}
叶	5	2312	N1		mouth, opening 口	十 口	grant, answer	かな.える, かな.う	キョウ		Kun reading compounds<br/>{叶える:かなえる} to grant (request, wish), to answer (prayer), to fulfill (conditions), to meet (requirements)<br/>{叶う:かなう} to come true (of a wish, prayer, etc.), to be realized, to be fulfilled, to suit (e.g. a purpose), to meet (wishes, ideals, etc.), to conform to (standards, rules, etc.), to be consistent with, to match (implies competition), to rival, to bear (e.g. the heat)<br/>{叶うことなら:かなうことなら} if possible, if it is in my power, if it was realistic	{叶:かな}う<br/>{叶:かな}える<br/>{叶:かな}わぬ<br/>{叶:かな}わぬ{夢:ゆめ}<br/>{叶:かな}うことなら<br/>{叶:かな}わぬ{時:とき}の{神:かみ}{頼:だの}み
凄	10	2313		junior high	ice 冫	冫 十 女 ヨ	uncanny, weird, threatening, horrible	さむ.い, すご.い, すさ.まじい	セイ, サイ	{凄い:すごい} terrible, dreadful, amazing (e.g. of strength), great (e.g. of skills), wonderful, terrific, to a great extent, vast (in numbers), awfully, very, immensely<br/>{凄い事になる:すごいことになる} to go crazy (esp. of a situation or thing), to get out of hand, to end up in an extreme state<br/>{凄まじい:すさまじい} terrific, fierce, terrible, tremendous, dreadful, awful, amazing, absurd, cutthroat, intense	{凄艶:セイエン} weirdly beautiful<br/>{凄惨:セイサン} ghastly, gruesome, appalling, lurid	{凄:すご}い<br/>{凄:すさ}まじい<br/>{凄:すご}く<br/>{凄:すご}{腕:うで}<br/>{凄:せい}{絶:ぜつ}<br/>{凄:せい}{艶:えん}<br/>{凄:すご}くない<br/>{凄:すご}む<br/>{凄:せい}{惨:さん}<br/>{凄:すご}{技:わざ}<br/>{凄:すご}{文:もん}{句:く}<br/>{凄:すご}み<br/>{凄:せい}{烈:れつ}<br/>{凄:すご}い{事:こと}になる<br/>{凄:すご}みを{利:き}かす<br/>{凄:すご}みを{利:き}かせる
汐	6	2314	N1		water 水 (氵, 氺)	夕 汁	eventide, tide, salt water, opportunity	しお, うしお, せい	セキ	{潮:しお} tide, current, sea water, opportunity, chance, thin soup of fish or shellfish boiled in seawater<br/>{潮干狩り:しおひがり} shell gathering (at low tide), clamming<br/>{夕潮:ゆうしお} evening tide<br/>{引き潮:ひきしお} ebb tide<br/>{潮:しお} tide, current, sea water, opportunity, chance, thin soup of fish or shellfish boiled in seawater<br/>{夕潮:ゆうしお} evening tide	{潮汐:チョウセキ} tide	{汐留シティセンター:}<br/>{汐留メディアタワー:}<br/>{汐留駅 (国鉄):}<br/>{汐風 (駆逐艦):}
絢	12	2315	N1		silk 糸 (糹)	勹 小 幺 日 糸	brilliant fabric design		ケン		{絢爛:ケンラン} gorgeous, brilliant, dazzling, ornate, gaudy, flowery<br/>{絢文:ケンブン} colorful pattern, colourful pattern	{絢:けん}{爛:らん}<br/>{絢:けん}{文:ぶん}<br/>{絢:けん}{爛:らん}{華:か}{麗:れい}<br/>{絢:けん}{爛:らん}{豪:ごう}{華:か}<br/>{絢緞子:あやどんす}
叩	5	2316			mouth, opening 口	卩 口	strike, beat, kow tow, hit, thrash, criticize	たた.く, はた.く, すぎ	コウ	{叩く:たたく} to strike, to clap, to knock, to beat, to tap, to pat, to play drums, to abuse, to bash, to flame (e.g. on the Internet), to insult, to consult, to sound out, to brag, to talk big, to call, to invoke (e.g. a function)<br/>{叩く:はたく} to dust, to remove dust, to slap, to hit (with the palm), to use up money	{叩首:コウシュ} kowtow<br/>{叩頭:コウトウ} kowtow (bow made from a kneeling position wherein the forehead touches the ground)	{叩:たた}く<br/>{叩:たた}きつける<br/>{叩:たた}き{込:こ}む<br/>{叩:たた}き{上:あ}げる<br/>{叩:たた}き{上:あ}げ<br/>{叩:たた}き{出:だ}す<br/>{叩:たた}き{起:おこ}す<br/>{叩:たた}き<br/>{叩:たた}きのめす<br/>{叩:たた}き{壊:こわ}す<br/>{叩:たた}き{売:う}り<br/>{叩:たた}き{大:だい}{工:く}<br/>{叩き牛蒡:たたごぼう}<br/>{叩:たた}き{潰:つぶ}す<br/>{叩:たた}き{落:お}とす<br/>{叩:たた}き{箸:ばし}<br/>{叩:たた}き{合:あ}う<br/>{叩:たた}き{直:なお}す
嫉	13	2317		junior high	woman, female 女	女 疔 矢 乞	jealous, envy	そね.む, ねた.む, にく.む	シツ		Kun reading compounds<br/>{嫉む:そねむ} to be jealous of, to envy, to begrudge<br/>{妬む:ねたむ} to be jealous of, to envy, to begrudge	{嫉:しっ}{妬:と}<br/>{嫉:しっ}{妬:と}{深:ぶか}い<br/>{嫉:しっ}{妬:と}{心:しん}<br/>{嫉:しっ}{視:し}<br/>{嫉:しっ}{視:し}{反:はん}{目:もく}<br/>{嫉:そね}む<br/>{嫉:しっ}{妬:と}の{炎:ほのお}<br/>{嫉:しっ}{妬:と}に{狂:くる}う
朔	10	2318	N1		meat 肉 (⺼)	并 屮 月	conjunction (astronomy), first day of month, north	ついたち	サク	{一日:ついたち} first day of the month, first ten days of the lunar month	{朔:サク} new moon, first day of the lunar month, (in ancient China) next year's calendar and decrees (distributed by the Emperor at year's end)<br/>{一日:ツイタチ} first day of the month, first ten days of the lunar month<br/>{晦朔:カイサク} last and first days of the month<br/>{正朔:セイサク} beginning of the month or the year, New Year's Day, the calendar	{朔:さく}<br/>{朔:さく}{望:ぼう}{月:げつ}<br/>{朔:さく}{望:ぼう}<br/>{朔:さく}{望:ぼう}{潮:ちょう}<br/>{朔:さく}{風:ふう}
蔡	14	2319			grass 艸 (艹)	二 小 艾 癶 示	type of tortoise used for divination		サイ			
膝	15	2320		junior high	meat 肉 (⺼)	个 月 木 水	knee, lap	ひざ	シツ	{膝:ひざ} knee, lap, knee and thigh (while sitting)<br/>{膝上:ひざうえ} above the knee<br/>{両膝:りょうひざ} both knees<br/>{突き膝:つきひざ} knee touch down, posture with knees and toes on the floor	{膝窩静脈:シツカジョウミャク} popliteal vein<br/>{膝窩動脈:シツカドウミャク} popliteal artery	{膝:ひざ}<br/>{膝:ひざ}{元:もと}<br/>{膝:ひざ}{頭:がしら}<br/>{膝:ひざ}{蹴:げ}り<br/>{膝:しつ}{蓋:がい}{骨:こつ}<br/>{膝:ひざ}{丈:たけ}<br/>{膝:ひざ}{上:うえ}<br/>{膝:ひざ}の{皿:さら}<br/>{膝:ひざ}{枕:まくら}<br/>{膝:しつ}{蓋:がい}{反:はん}{射:しゃ}<br/>{膝:しっ}{窩:か}<br/>{膝:しつ}{窩:か}{動:どう}{脈:みゃく}<br/>{膝:しつ}{窩:か}{静:じょう}{脈:みゃく}<br/>{膝:しっ}{膕:かく}<br/>{膝:ひざ}{拍:びょう}{子:し}<br/>{膝:ひざ}{小:こ}{僧:ぞう}<br/>{膝:しつ}{蓋:がい}{腱:けん}{反:はん}{射:しゃ}<br/>{膝:しつ}{蓋:がい}{腱:けん}<br/>{膝皿貝:ひざらがい}
鍾	17	2321			metal, gold 金 (釒)	｜ ノ 日 里 金	spindle, gather, collect	あつ.める, さかずき, かね	ショウ, シュ		{鍾:ショウ} round bronze jar used for storing alcohol (Han dynasty China)<br/>{鍾乳洞:ショウニュウドウ} limestone cave, limestone cavern	{鍾:しょう}<br/>{鍾:しょう}{乳:にゅう}{洞:どう}<br/>{鍾:しょう}{乳:にゅう}{石:せき}<br/>{鍾:しょう}{馗:き}<br/>{鍾:しょう}{馗:き}さん<br/>{鍾:しょう}{愛:あい}<br/>{鍾:しょう}{馗:き}{蘭:らん}<br/>{鍾:しょう}{馗:き}{水:ずい}{仙:せん}<br/>{鍾:しょう}{乳:にゅう}{体:たい}
仇	4	2322			man, human 人 (亻)	化 九	foe, enemy, revenge, grudge, feud	あだ, あた, かたき, つれあい	キュウ, グ	{仇:あだ} foe, enemy, rival, resentment, enmity, grudge, harm, injury<br/>{あだ名:あだな} nickname<br/>{情けが仇:なさけがあだ} Pardon makes offenders<br/>{仇:あだ} foe, enemy, rival, resentment, enmity, grudge, harm, injury<br/>{仇する:あだする} to harm, to injure, to oppose<br/>{敵:かたき} rival, opponent, adversary, competitor, enemy (esp. one with which there is longstanding enmity), foe, revenge, spouse<br/>{仇同士:かたきどうし} mutual enemies	{仇讎:キュウシュウ} revenge, bitter enemy<br/>{仇敵:キュウテキ} bitter enemy<br/>{復仇:フッキュウ} reprisal, revenge	{仇:あだ}<br/>{仇:かたき}{同:どう}{士:し}<br/>{仇:あだ}{討:う}ち<br/>{仇:かたき}を{討:う}つ<br/>{仇:あだ}となる<br/>{仇:あだ}になる<br/>{仇:きゅう}{讎:しゅう}<br/>{仇:きゅう}{敵:てき}<br/>{仇:あだ}をなす<br/>{仇:かたき}を{取:と}る<br/>{仇:あだ}なす<br/>{仇:あだ}を{恩:おん}で{報:むく}いる<br/>{仇:あだ}する
